,linear_fit_time,linear_score_time,linear_test_score,fit_time_label_0,score_time_label_0,test_score_label_0,fit_time_label_1,score_time_label_1,test_score_label_1,fit_time_label_2,score_time_label_2,test_score_label_2,fit_time_label_3,score_time_label_3,test_score_label_3,fit_time_label_4,score_time_label_4,test_score_label_4,fit_time_label_5,score_time_label_5,test_score_label_5,fit_time_label_6,score_time_label_6,test_score_label_6,fit_time_label_7,score_time_label_7,test_score_label_7,fit_time_label_8,score_time_label_8,test_score_label_8,fit_time_label_9,score_time_label_9,test_score_label_9,fit_time_label_10,score_time_label_10,test_score_label_10,fit_time_label_11,score_time_label_11,test_score_label_11,fit_time_label_12,score_time_label_12,test_score_label_12
0,0.002,0.0,0.86,0.001,0.001,-0.404,0.001,0.001,0.881,0.001,0.001,0.903,0.001,0.0,0.858,0.001,0.0,0.894,0.001,0.0,0.909,0.001,0.0,0.733,0.001,0.001,0.756,0.001,0.001,0.768,0.001,0.0,0.768,0.001,0.0,0.766,0.001,0.0,0.771,0.001,0.0,0.768
1,0.001,0.0,0.907,0.031,0.001,-0.139,0.001,0.001,0.941,0.001,0.0,0.941,0.001,0.0,0.943,0.001,0.001,0.933,0.001,0.0,0.933,0.001,0.0,0.928,0.001,0.0,0.93,0.001,0.0,0.937,0.001,0.001,0.937,0.001,0.0,0.936,0.001,0.0,0.937,0.001,0.0,0.937
2,0.001,0.0,0.895,0.001,0.001,-0.062,0.001,0.0,0.919,0.001,0.0,0.931,0.001,0.0,0.933,0.001,0.0,0.915,0.001,0.0,0.911,0.001,0.0,0.927,0.001,0.001,0.923,0.001,0.0,0.926,0.001,0.0,0.926,0.001,0.0,0.921,0.001,0.0,0.919,0.001,0.0,0.926
3,0.001,0.0,0.883,0.002,0.001,-0.173,0.001,0.0,0.93,0.001,0.0,0.926,0.001,0.0,0.9,0.001,0.0,0.9,0.001,0.0,0.892,0.001,0.0,0.87,0.001,0.001,0.878,0.001,0.0,0.895,0.001,0.0,0.895,0.001,0.0,0.895,0.001,0.0,0.857,0.024,0.001,0.895
4,0.001,0.0,0.845,0.001,0.0,-0.006,0.001,0.001,0.77,0.001,0.0,0.777,0.001,0.0,0.808,0.001,0.0,0.796,0.001,0.0,0.806,0.001,0.0,0.788,0.001,0.001,0.807,0.001,0.0,0.803,0.001,0.0,0.803,0.001,0.0,0.794,0.001,0.0,0.847,0.001,0.001,0.803
