,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,0.15839385986328125,0.04264259338378906,0.6558696079142137,0.0056924781590431996,0.004764343019050875,0.013138393959004402,0.0014519691467285156,0.0017347335815429688,0.9676132844248059,0.0018179739811842739,0.0015028910768973775,0.005103580498650562
1,0.10185360908508301,0.023303985595703125,0.6560685283018127,0.006060194163501978,0.004986303003640689,0.017726616891917568,0.007248878479003906,0.001238107681274414,0.9853629679404765,0.0013501430540619347,0.0010406811086738684,0.00542349796712982
2,0.13064098358154297,0.023149728775024414,0.6677066203409908,0.006993940176681342,0.005598677556611521,0.01661620948707998,0.0025725364685058594,0.0013742446899414062,0.9861848857604972,0.0014453045878314232,0.0011762365517555477,0.005106728603575084
3,0.1116170883178711,0.026792287826538086,0.5138223258441569,0.008339152824805612,0.006866586271023183,0.019550196442905787,0.0007441043853759766,0.0011539459228515625,0.9806122254252947,0.001579913857698511,0.0013576691969172938,0.0041201052268377
4,0.1124277114868164,0.023120641708374023,0.4711376866301982,0.006075225030055639,0.004861791588775711,0.01754339033879737,0.0008168220520019531,0.0012454986572265625,0.9830886371659661,0.0011233593199537748,0.0009059013601373987,0.003033638486416801
mean,0.12298665046691895,0.02780184745788574,0.5929209538062745,0.006632198070817554,0.005415540287820396,0.01691496142394102,0.0025668621063232424,0.0013493061065673827,0.9805724001434081,0.0014633389601459833,0.0011966758588762972,0.004557510156521993
std,0.022358571435584035,0.008441765323770093,0.09304676545598103,0.0010682968728333733,0.0008737868526227878,0.0023637832833139556,0.002717967150500149,0.00022939210378439414,0.007561766487323468,0.0002588824117096426,0.00023926374104972137,0.0009827609766263701
