,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,130.51734566688538,6.051947593688965,0.9219359204931236,0.002012789995958334,0.0013037428798288,0.015012146991849051,0.23149371147155762,0.20093345642089844,0.9058418740075311,0.0013996000052174363,0.001066423671267905,0.007713531738334778
1,130.01527881622314,6.029897689819336,0.9233534765933898,0.001983652373327681,0.0012955343210828334,0.01459145422840602,0.16160225868225098,0.19444680213928223,0.9062530455241105,0.0013886893094151051,0.0010584332479547565,0.007288473473807122
2,132.2057716846466,6.288621664047241,0.9233536178618065,0.001957762031137037,0.0012726018775144397,0.01412712732024457,0.1251225471496582,0.19153094291687012,0.9054323258963447,0.0014024031532809222,0.0010679093653787656,0.007267703550245752
3,130.95285272598267,6.262911558151245,0.9230154429862941,0.001986879070006796,0.0012853283279285906,0.045911657964133434,0.12120223045349121,0.19686627388000488,0.9058399767491255,0.001396649887530649,0.0010612601615790614,0.008501176853751291
4,132.8047525882721,5.815958261489868,0.9249080680628425,0.0019408245852976902,0.001266529964164777,0.015457405816583059,0.10665440559387207,0.18833589553833008,0.9057270415774636,0.0013950458604711823,0.0010628093380398915,0.006830729834546356
mean,131.29920029640198,6.089867353439331,0.9233133051994914,0.0019763816111455076,0.0012847474741038882,0.021019958464243226,0.149215030670166,0.19442267417907716,0.905818852750915,0.0013964776431830592,0.0010633671568440759,0.00752032309013706
std,1.1692163031316813,0.19333134261961032,0.001064473810074887,2.7837124298170672e-05,1.5466997789342443e-05,0.0139236245508175,0.05024887132386858,0.004841823803370312,0.0002946743400460364,5.18648790907576e-06,3.8427850118398245e-06,0.0006309741321991759
