,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,94.68007755279541,5.511704444885254,0.8693486587780945,0.003157219471993004,0.0020330272772764823,0.024799146831763874,0.19142413139343262,0.21897482872009277,0.9054980540123627,0.00140080058191402,0.0010665200274757095,0.007713688473452329
1,97.02261686325073,4.936332702636719,0.8456295825206579,0.0037148834029747863,0.002338238111951162,0.0502305352704191,0.1832900047302246,0.19820475578308105,0.9057358031276858,0.0013966889398015193,0.0010636707428594992,0.008535157273356964
2,96.88198328018188,5.260371685028076,0.798144772030062,0.004481857801158572,0.002796473621510188,0.043409834378286716,0.10812926292419434,0.19902777671813965,0.9059132216458807,0.00139608046900281,0.0010617528765264719,0.00773982816265828
3,98.28931546211243,5.103971481323242,0.7927773220672838,0.004517008531568732,0.0028223144171073532,0.039850169852844175,0.1044609546661377,0.2076873779296875,0.9058557709233769,0.0013966317966951323,0.00106365975678309,0.008922230490965521
4,97.35897397994995,5.226774215698242,0.7647208953962813,0.004793314621580507,0.0030561986677663474,0.03917563304578375,0.10087156295776367,0.20117640495300293,0.9058206832155042,0.0013930466019235295,0.001060132708511093,0.00895847707733799
mean,96.84659342765808,5.207830905914307,0.8141242461584758,0.0041328567658551205,0.0026092504191223063,0.03949306387581952,0.1376351833343506,0.20501422882080078,0.905764706584962,0.0013966496778674022,0.0010631472224311726,0.008373876295554217
std,1.329474372321489,0.2121064382577326,0.04240886639779565,0.0006767844454080692,0.0004140327014719431,0.00931093266309979,0.04555300818872155,0.008645511835275864,0.00016234363594997382,2.7630608312551362e-06,2.394998624505535e-06,0.0006136625593045508
