,dnn_fit_time,dnn_score_time,dnn_test_r2,dnn_test_rmse,dnn_test_mae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae
0,100.129,0.002,0.944,0.002,0.002,0.003,0.002,0.98,0.001,0.001
1,88.213,0.002,0.953,0.002,0.002,0.002,0.002,0.985,0.001,0.001
2,100.144,0.002,0.958,0.002,0.002,0.003,0.002,0.984,0.001,0.001
3,81.775,0.002,0.953,0.002,0.002,0.002,0.002,0.98,0.001,0.001
4,106.719,0.002,0.956,0.002,0.002,0.001,0.002,0.979,0.002,0.001
mean,95.396,0.002,0.953,0.002,0.002,0.002,0.002,0.982,0.001,0.001
std,10.128,0.0,0.005,0.0,0.0,0.001,0.0,0.003,0.0,0.0
