,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae
0,42.385477701822914,0.26885673597504745,2.969223658243815,0.09199338596980038,25,79,"{'n_estimators': 25, 'max_depth': 79}",0.9149550906833528,0.9182807411522362,0.916361475399362,0.9165324357449837,0.001363062321912804,6,0.003027029780967715,0.002969329750184195,0.0030159512343491727,0.003004103588500361,2.5001312261878647e-05,5,0.002387339442869982,0.0023412077329894236,0.0023810089369448173,0.0023698520376014076,2.0418797978745544e-05,5
1,117.17645192146301,0.14367245709553073,7.281534989674886,0.2640823642338139,69,51,"{'n_estimators': 69, 'max_depth': 51}",0.9204760863292685,0.9228167136715933,0.9227610432958624,0.9220179477655748,0.0010904975360692996,2,0.002925252078154954,0.002887058306788817,0.002896686606428108,0.0029029989971239597,1.6218831647501427e-05,9,0.0023076313227611746,0.0022728599207658957,0.0022850570316682406,0.0022885160917317706,1.4404546078041973e-05,9
2,90.06748382250468,0.6774829549203676,2.493778626124064,0.012193086664337814,80,9,"{'n_estimators': 80, 'max_depth': 9}",0.8080299026197072,0.8128115677029464,0.8112738735774544,0.8107051146333694,0.001993103993678332,10,0.004521396632149792,0.004468337122025702,0.004500296030035187,0.004496676594736894,2.1812124114216826e-05,1,0.003587725874896162,0.0035491066546716656,0.0035760200132712305,0.0035709508476130195,1.6168557409157387e-05,1
3,34.089847803115845,0.14306809259758146,2.4074559211730957,0.11966291608480521,20,95,"{'n_estimators': 20, 'max_depth': 95}",0.9148354854519214,0.9155983865658027,0.9152906151619615,0.9152414957265619,0.00031338375472768115,7,0.003025046602679772,0.003021147108772397,0.0030325643141696956,0.003026252675207288,4.738431736151285e-06,4,0.0023864622177060045,0.0023823181671258423,0.002394063501012292,0.0023876146286147134,4.863760904411951e-06,4
4,31.756110191345215,0.407498209289851,1.327375094095866,0.056868971419253574,25,11,"{'n_estimators': 25, 'max_depth': 11}",0.8692434844390543,0.8732785773506809,0.8716821051556479,0.8714013889817944,0.0016592357435602867,9,0.0037342647243207194,0.00368646391682484,0.0037199323361903915,0.003713553659111984,2.0029061223922996e-05,2,0.0029594449873757873,0.0029211776928338615,0.0029502843371454284,0.002943635672451693,1.6314615421903654e-05,2
5,92.68265891075134,1.1122999683199442,5.10969336827596,0.07178591678465893,59,15,"{'n_estimators': 59, 'max_depth': 15}",0.9173978225856785,0.919694858480594,0.9196426945092196,0.9189117918584974,0.0010707497339892851,4,0.0029775878811240156,0.0029406157071124907,0.0029503628208497053,0.0029561888030287375,1.564591456893073e-05,7,0.0023531619627278656,0.0023169721766982264,0.0023312821746081496,0.0023338054380114136,1.4881762818283258e-05,7
6,42.59924499193827,1.0187625964353237,2.788654327392578,0.12079500336143371,25,76,"{'n_estimators': 25, 'max_depth': 76}",0.9151484018703305,0.9175875887098374,0.9175772694210959,0.916771086667088,0.0011474191573993939,5,0.003020406964853517,0.002983672807946133,0.0029911394205249945,0.002998406397774881,1.585257686070552e-05,6,0.0023846446750259787,0.0023487855527843755,0.00235599493725247,0.002363141721687608,1.5487124928066548e-05,6
7,17.102771043777466,0.12863747265509162,1.3557016054789226,0.05163266791000415,10,97,"{'n_estimators': 10, 'max_depth': 97}",0.9036164180804077,0.9049040986402992,0.9040026979812411,0.9041744049006493,0.0005395323627674287,8,0.0032240025931877725,0.003202902729827841,0.0032305536189021896,0.0032191529806392676,1.1797795643069472e-05,3,0.002538656748790762,0.002525958930635594,0.002552552444730233,0.0025390560413855296,1.0860427367515603e-05,3
8,92.92070666948955,0.4977968444601447,5.69191853205363,0.0910066805417329,55,50,"{'n_estimators': 55, 'max_depth': 50}",0.9203545906531239,0.922067197401763,0.9215703640615819,0.9213307173721562,0.0007194110418416781,3,0.0029287537839422966,0.0029000253505814403,0.0029195881296749863,0.0029161224213995747,1.198162680189922e-05,8,0.0023120494259259924,0.002285321325512557,0.0023037927809254274,0.0023003878441213254,1.1174167647081337e-05,8
9,132.36524136861166,6.918603421759708,7.170863707860311,1.0095756306561978,90,85,"{'n_estimators': 90, 'max_depth': 85}",0.9221266781356038,0.9236068310902494,0.9228828448975447,0.9228721180411327,0.000604317516637806,1,0.0028951362921897303,0.0028703953800619337,0.0028953922785518393,0.0028869746502678344,1.1723780183160388e-05,10,0.0022833248196662084,0.0022619813022776197,0.0022829799158269374,0.0022760953459235885,9.98112921783967e-06,10
