,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,60.325130462646484,6.5696940422058105,0.4517886144142608,0.00766777099640461,0.004917056297886429,0.05219208536394271,0.14882183074951172,0.2020714282989502,0.9059972517417114,0.0013922401656524834,0.0010570926329914402,0.0076608959317104874
1,55.18221402168274,6.503331899642944,0.5741553099618586,0.006711775246607489,0.004303446213503551,0.05408914625052885,0.1336820125579834,0.1986219882965088,0.9056565681610697,0.0013966184353546472,0.0010622053499388636,0.006789493889511888
2,53.162736654281616,5.6952223777771,0.5961737936005884,0.006343024389113222,0.0040873539181465295,0.06846848991436416,0.14550447463989258,0.2083146572113037,0.9059990584975032,0.0013924487019657673,0.0010578088237904195,0.008943591750784519
3,56.37617802619934,5.8047285079956055,0.4710271220425053,0.007555992193772444,0.004814763193335675,0.04981468919004661,0.14030003547668457,0.21130156517028809,0.9061704958581043,0.0013892290766355034,0.0010568573114726595,0.00730463373791268
4,54.65992498397827,5.756308078765869,0.5248538906616268,0.007008096247199591,0.004482550015767339,0.05501697939290795,0.12264728546142578,0.20392537117004395,0.9060154240315742,0.0013962518401190091,0.001062613259990808,0.007145223505267251
mean,55.94123682975769,6.065856981277466,0.523599746136168,0.007057331814619471,0.004521033927727905,0.05591627802235806,0.1381911277770996,0.20484700202941894,0.9059677596579926,0.001393357643945482,0.0010593154756368382,0.007568767763037365
std,2.7085806302969004,0.43203434472282337,0.06273983925877326,0.0005597693161750293,0.00034641534850238833,0.007293904461157285,0.010402974739255376,0.0050246897105458,0.0001884564986001932,3.0874396105745727e-06,2.8495769597154e-06,0.0008299175995582414
