,dnn_fit_time,dnn_score_time,dnn_test_r2,dnn_test_rmse,dnn_test_mae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae
0,136.141,0.008,0.974,0.002,0.001,0.007,0.006,0.981,0.001,0.001
1,154.431,0.008,0.975,0.002,0.001,0.004,0.013,0.982,0.001,0.001
2,150.185,0.009,0.975,0.002,0.001,0.013,0.005,0.982,0.001,0.001
3,131.31,0.009,0.973,0.002,0.001,0.004,0.005,0.981,0.001,0.001
4,153.384,0.012,0.971,0.002,0.001,0.004,0.005,0.981,0.001,0.001
mean,145.09,0.009,0.974,0.002,0.001,0.006,0.007,0.981,0.001,0.001
std,10.63,0.001,0.002,0.0,0.0,0.004,0.004,0.0,0.0,0.0
