,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae
0,1270.3735769589741,21.483304606878473,0.45671844482421875,0.006053042172853153,0.001,poly,scale,0.001402,1.31,"{'tol': 0.001, 'kernel': 'poly', 'gamma': 'scale', 'epsilon': 0.001402, 'C': 1.31}",0.9335021260633445,0.9351400833599925,0.9359457934363029,0.93486266761988,0.0010167258486803066,18,0.0024773885112113125,0.00238032647539812,0.00241014889002584,0.0024226212922117576,4.0594994036751415e-05,13,0.0018118750273145834,0.0017655138932559454,0.0017986261078552826,0.0017920050094752706,1.9497314270074953e-05,12
1,17.54846652348836,0.7589211850971084,1.2407607237497966,0.043279769643070454,0.001,rbf,scale,0.000894,4.78,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.000894, 'C': 4.78}",0.9622098151222525,0.9578879416138462,0.9556409623058206,0.9585795730139731,0.002725952105988808,15,0.0018675822919352574,0.0019180130992229678,0.002005677500254664,0.0019304242971376299,5.705611282151843e-05,16,0.0014795396004387916,0.0015225490017400731,0.0015050022777054522,0.0015023636266281058,1.7657368805584773e-05,16
2,1.205377419789632,0.018815601455359394,0.7528971036275228,0.019926374100606978,0.001,poly,auto,0.000178,2.775,"{'tol': 0.001, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.000178, 'C': 2.775}",0.9253170938562689,0.9272462824566836,0.9277507601602617,0.9267713788244047,0.0010487557754346214,23,0.0026254324197762147,0.0025210178973524224,0.002559685955451625,0.002568712090860087,4.310221543846737e-05,8,0.0018589455855808161,0.0018029812064760723,0.001849404279684059,0.0018371103572469823,2.4445290327743587e-05,9
3,2.3341325918833413,0.01008150477617616,2.6014572779337564,0.08131117588938873,0.001,sigmoid,scale,0.001022,4.47,"{'tol': 0.001, 'kernel': 'sigmoid', 'gamma': 'scale', 'epsilon': 0.001022, 'C': 4.47}",-468148930.11321217,-452910074.5807096,-450720909.87086403,-457259971.5215953,7751351.492446077,30,207.86542479428866,198.90895014095946,202.17334571083703,202.98257354869506,3.7009680557123934,1,140.65034036470803,136.93123702609887,139.89003625344625,139.15720454808437,1.6043096422035945,1
4,3.998830477396647,0.17561896019403286,0.36267924308776855,0.00361900367307408,0.001,linear,scale,0.000856,0.42,"{'tol': 0.001, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.000856, 'C': 0.42}",0.9816467478448359,0.9805752510739101,0.9806638850966035,0.9809619613384498,0.0004855673087506341,6,0.0013015077388473378,0.0013026448926609748,0.001324203262678789,0.001309451964729034,1.0441068690538172e-05,25,0.0010496182722704828,0.0010503713119591565,0.0010559832075709976,0.0010519909306002124,2.839656522865228e-06,24
5,1.0932679176330566,0.05163456228886204,0.702186107635498,0.006182015287459319,0.001,poly,auto,0.000262,0.845,"{'tol': 0.001, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.000262, 'C': 0.845}",0.9239831022972576,0.9213430326576311,0.9252641117478303,0.9235300822342397,0.00163251047796984,24,0.002648776471304476,0.0026213012403937413,0.0026033625000705086,0.0026244800705895756,1.8675936689947113e-05,7,0.001878284736951147,0.0018524271912858257,0.0018744212329349621,0.001868377720390645,1.1388479555045483e-05,7
6,5.891741116841634,0.09919348675876546,1.2895745436350505,0.027786036809158924,0.001,rbf,scale,0.00071,0.115,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.00071, 'C': 0.115}",0.9739372132685993,0.97081650721182,0.9663347327084723,0.9703628177296305,0.003120235383905553,13,0.0015509602389956161,0.0015966766286343254,0.0017472742554076421,0.0016316370410125278,8.387081767097057e-05,18,0.0012356233373346074,0.0012749294683924146,0.0012700853194329402,0.0012602127083866542,1.7499415634754143e-05,18
7,10.919925928115845,0.33385368360251555,0.2446153163909912,0.007497215351769003,0.001,linear,auto,0.001236,2.61,"{'tol': 0.001, 'kernel': 'linear', 'gamma': 'auto', 'epsilon': 0.001236, 'C': 2.61}",0.9817713317721685,0.9805085483902239,0.9808160212571543,0.9810319671398489,0.0005376677633498084,1,0.001297082826848071,0.0013048795533379372,0.0013189835730711358,0.0013069819844190478,9.063694376278972e-06,30,0.0010455289407892727,0.0010537110561158417,0.0010517650523288993,0.001050335016411338,3.4900338917605473e-06,30
8,53.656997203826904,2.0441279717980314,1.7640999952952068,0.06730749149515748,0.001,rbf,scale,0.000382,3.0,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.000382, 'C': 3.0}",0.9487725124560715,0.9463022363290251,0.9421053226113147,0.9457266904654705,0.0027521258313405825,16,0.002174411655198489,0.0021658403160269898,0.0022913390870152265,0.0022105303527469016,5.724744893492204e-05,15,0.0016821516469908392,0.0016979594523427069,0.001724736657831179,0.0017016159190549084,1.757646340386377e-05,15
9,6.788262764612834,0.022261531435598798,1.5180975596110027,0.014053799466636872,0.001,rbf,auto,0.000324,2.135,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.000324, 'C': 2.135}",0.9811329592445003,0.9805189201987083,0.980348910172053,0.980666929871754,0.00033676241327050457,9,0.0013195994713255377,0.0013045323303091344,0.0013349449751016765,0.0013196922589121163,1.2416083600757584e-05,22,0.0010600012005504331,0.0010529259091952767,0.00106061846818098,0.0010578485259755634,3.489925673143533e-06,21
