,dnn_fit_time,dnn_score_time,dnn_test_r2,dnn_test_rmse,dnn_test_mae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae
0,60.538,0.002,-27.914,0.012,0.009,0.042,0.002,0.909,0.001,0.001
1,58.519,0.002,-124.559,0.008,0.006,0.069,0.008,0.9,0.001,0.001
2,56.854,0.002,-47.894,0.011,0.008,0.006,0.009,0.904,0.001,0.001
3,59.328,0.003,-86.743,0.011,0.008,0.003,0.002,0.901,0.001,0.001
4,36.588,0.002,-30.413,0.008,0.006,0.001,0.001,0.901,0.001,0.001
mean,54.366,0.002,-63.505,0.01,0.008,0.024,0.004,0.903,0.001,0.001
std,10.028,0.0,41.452,0.002,0.001,0.03,0.004,0.004,0.0,0.0
