,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse
0,127.00034399032593,0.8193659602652046,3.346083879470825,0.14429206929710456,56,20,"{'n_estimators': 56, 'max_depth': 20}",0.8514124587343747,0.8502261235798857,0.8500848316959396,0.8490079148272233,0.8516069494916186,0.8504676556658083,0.0009514597748902509,12,0.0027294731385029045,0.002723824577196715,0.0027477261596783706,0.002763796526633049,0.0027482491662977056,0.002742613913661749,1.4368809000532831e-05,9
1,208.4503611087799,0.4839700899215239,5.807058382034302,0.4391426583080817,91,73,"{'n_estimators': 91, 'max_depth': 73}",0.8526282657227247,0.8527618243579359,0.8514997568092821,0.8510708693389084,0.8537262747278723,0.8523373981913448,0.000948626158653936,1,0.0027149906903891755,0.0026887315579480807,0.0027300872671032475,0.002734716693285016,0.0027178226619591966,0.0027172697741369434,1.605373977997799e-05,20
2,141.11008019447326,1.2205467311156275,3.6610224723815916,0.16397756301070854,62,25,"{'n_estimators': 62, 'max_depth': 25}",0.8522947805418796,0.8513313818617765,0.8503481576987875,0.8499088182680686,0.8523213663306163,0.8512409009402256,0.0009856661922145273,7,0.002716737381804664,0.0027022785243077034,0.0027418814159368113,0.0027484853247706255,0.0027364368586412615,0.002729163901092213,1.7118354913614974e-05,14
3,150.57679619789124,1.8847344512845787,3.8219659328460693,0.12774110345656128,66,91,"{'n_estimators': 66, 'max_depth': 91}",0.8525058323184067,0.851602152844124,0.8505174970882947,0.8501182744388145,0.8526408093883309,0.8514769132155943,0.0010193519918742144,6,0.0027144665362127877,0.0027022292537840237,0.0027394322726252396,0.002747968802714857,0.0027341100853804827,0.002727641390143478,1.681324525522392e-05,15
4,144.87256374359131,1.561181551651783,3.9267982482910155,0.5304643552079193,63,95,"{'n_estimators': 63, 'max_depth': 95}",0.8517684321862588,0.8512372075814798,0.8505111524843227,0.8497484518263796,0.8524213244492386,0.851137313705536,0.0009357337342887289,8,0.0027259075877845785,0.0027033610931488546,0.002741464221171136,0.0027488820793331007,0.0027374973347837617,0.002731422463244286,1.5877238446406477e-05,13
5,209.9242163181305,30.193702892164474,6.062509059906006,1.0767852216366218,71,59,"{'n_estimators': 71, 'max_depth': 59}",0.852577062108925,0.8523841458983201,0.8506674797860921,0.8495227806283628,0.8529173484388314,0.8516137633721064,0.001302952737364908,5,0.002707588658864065,0.002690577607458781,0.002746707025326754,0.002757684602805967,0.0027298646548943608,0.0027264845098699856,2.465838655307611e-05,16
6,188.82627453804017,17.644461880343208,3.517021989822388,0.2841707737989636,72,15,"{'n_estimators': 72, 'max_depth': 15}",0.8499078622218996,0.8491751468251165,0.848474765640356,0.8472175059109677,0.8507886053345909,0.8491127771865863,0.0012201280349325933,13,0.0027776916036049734,0.0027707345879201743,0.002797612497292092,0.0028145343915549396,0.0027822955992273827,0.002788573735919912,1.5695386924508507e-05,6
7,167.11093158721923,7.070789561287587,4.1503688335418705,0.145244645396699,72,99,"{'n_estimators': 72, 'max_depth': 99}",0.8526268358874951,0.8526366649069863,0.8506574457175788,0.8496523514308836,0.8529425510514841,0.8517031697988855,0.0013084366917926957,4,0.0027110585864286857,0.002690093808126205,0.0027415415434360302,0.0027544878949816998,0.0027301530709460072,0.0027254669807837252,2.2721917340344262e-05,17
8,49.628072786331174,0.9358539793285876,0.6910975456237793,0.03769557059278972,29,11,"{'n_estimators': 29, 'max_depth': 11}",0.8061330942733639,0.8065669023866167,0.8038958178671454,0.802264433761859,0.8078169568049797,0.8053354410187928,0.0019906917794055737,20,0.0035345724627803147,0.00349734802040541,0.003561023756316881,0.0035772380375868234,0.003538967651814344,0.003541829985780754,2.70615624071681e-05,1
9,195.03653154373168,2.490346443407226,4.880177402496338,0.29132882372794716,75,68,"{'n_estimators': 75, 'max_depth': 68}",0.8526522177418452,0.8522494799897987,0.8511808867779508,0.8505435481107526,0.853391564812193,0.8520035394865081,0.0010213928540014215,2,0.002705096926426754,0.002695279195623811,0.002735270126017908,0.002739760950391907,0.0027238583760949937,0.002719853114911075,1.7156170142973423e-05,19
10,151.32428660392762,0.7836297009629577,4.124745273590088,0.3591500791553971,59,34,"{'n_estimators': 59, 'max_depth': 34}",0.852115549304911,0.851616998209743,0.8498180518343794,0.8488589028039105,0.8527684466686558,0.8510355897643199,0.0014647529604057872,10,0.0027173363089233564,0.0027049589589783116,0.0027491919339420485,0.0027625965304139337,0.0027274058070416276,0.0027322979078598557,2.096957255186828e-05,12
11,71.26557579040528,0.7582366132393535,1.905232048034668,0.1670020053265518,28,63,"{'n_estimators': 28, 'max_depth': 63}",0.8462810611239322,0.8469060972227983,0.8440993461093029,0.8448944680505307,0.8474050109990403,0.8459171967011209,0.001238908197726213,18,0.0027955745364156154,0.0027746271258221817,0.0028345294088927622,0.0028189748739833884,0.002808969117158178,0.0028065350124544244,2.0408853553538062e-05,5
12,209.92268476486205,0.6588611623377556,3.624299907684326,0.1437035475038093,92,14,"{'n_estimators': 92, 'max_depth': 14}",0.8470636920959015,0.8465868614061646,0.8448459982668394,0.8448790532306288,0.8476956931360932,0.8462142596271255,0.0011584410315198476,17,0.002835518526053305,0.002821825060449158,0.0028693532924407962,0.002864035852941779,0.002849888176418806,0.002848124181660769,1.764944438088047e-05,3
