,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,9.29516315460205,0.39772939682006836,0.893063167119577,0.003365927735072086,0.0025986330341319958,0.017492771001787477,0.010419607162475586,0.010219812393188477,0.9820539643142142,0.0014260408330138822,0.0011228821681055837,0.00677989942660584
1,9.368919372558594,0.4218482971191406,0.8882055265176091,0.0034512835253769527,0.0026777307858809134,0.015933212550754527,0.013107776641845703,0.02430438995361328,0.9816243402178518,0.001449387208026651,0.0011506252106158444,0.0066693105439794564
2,9.259329319000244,0.39528608322143555,0.9004948841640661,0.00327569891188178,0.002568851675943016,0.01376680472148828,0.006814002990722656,0.010268211364746094,0.9827632792259964,0.0014162006475421163,0.001109269018830663,0.009140514327393823
3,9.35133695602417,0.40595173835754395,0.8948566811882565,0.0032970023168779365,0.0025479211860315056,0.01716966401703135,0.005704641342163086,0.010118246078491211,0.9816824274008242,0.00142228820944865,0.0011270657996506335,0.006618261976431894
4,9.10888385772705,0.39203333854675293,0.8817217486320131,0.003530958942736381,0.002752239623667475,0.01610441584482525,0.005624055862426758,0.01116323471069336,0.9807634672968096,0.0014729303443627307,0.001154787060143983,0.007725747342180234
mean,9.276726531982423,0.4025697708129883,0.8916684015243044,0.0033841742863890273,0.0026290752611309812,0.016093373627177377,0.008334016799926758,0.013214778900146485,0.9817774956911393,0.0014373694484788061,0.0011329258514693416,0.0073867467233182495
std,0.10353739735423305,0.011943586262436799,0.007087748252143661,0.00010694412217887566,8.467055803305142e-05,0.0014624816570856993,0.0033055413985273088,0.0062134713931206766,0.0007261116030729015,2.352075303190333e-05,1.9274602928704713e-05,0.001079834402563904
