,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse
0,66.53139138221741,0.6220767712215436,2.5459543069203696,0.0867621155343442,80,29,"{'n_estimators': 80, 'max_depth': 29}",0.9218576887165243,0.9227509051547892,0.9220989514683082,0.9222358484465406,0.0003772837026107526,1,0.0028940769939584366,0.002883265624466795,0.002888852164238127,0.002888731594221119,4.414546440874048e-06,10
1,20.698033730189007,0.0788708262804216,0.9038891792297363,0.03021427402966224,25,73,"{'n_estimators': 25, 'max_depth': 73}",0.9156740683765962,0.9172515713005289,0.9166187842748545,0.9165148079839932,0.0006481960457300312,7,0.0030083314620240626,0.002984209794292475,0.002989667711832212,0.0029940696560495834,1.0327844183175061e-05,4
2,19.139485518137615,0.09772334854208643,0.84353240331014,0.01813257710601754,23,66,"{'n_estimators': 23, 'max_depth': 66}",0.9157740492697787,0.915433584816943,0.9152808746700624,0.9154961695855947,0.00020614385980300816,8,0.003006792306554869,0.0030197075250790717,0.0030112053226303425,0.0030125683847547612,5.3599857679068285e-06,3
3,8.42297919591268,0.24034550917236924,0.4688095251719157,0.022841903854194656,10,48,"{'n_estimators': 10, 'max_depth': 48}",0.9032018449944054,0.9047000922911028,0.9032731594874023,0.9037250322576368,0.0006900859805728978,9,0.003217654265575254,0.0032033632925281747,0.003221124804460264,0.003214047454187898,7.686552882205449e-06,2
4,32.70211172103882,0.18396549166333362,1.3360625902811687,0.05960334129222166,40,74,"{'n_estimators': 40, 'max_depth': 74}",0.9187038793013776,0.9198970745405508,0.9191090914088206,0.9192366817502498,0.0004954043406591362,6,0.002951316112575615,0.0029337457966888618,0.002941654066280845,0.0029422386585151073,7.1849523844556325e-06,5
5,59.921114921569824,0.7349384533417489,2.2034480571746826,0.02915525553577138,72,98,"{'n_estimators': 72, 'max_depth': 98}",0.9218106653615488,0.9217406805904217,0.921163846101472,0.9215717306844807,0.0002898296532329013,2,0.0028943464964907204,0.002900976837893646,0.0029068684858014706,0.0029007306067286125,5.115044894857461e-06,9
6,49.61188268661499,0.19765121235156133,1.9205199082692463,0.05543998223408552,60,93,"{'n_estimators': 60, 'max_depth': 93}",0.9204923322027728,0.9215062273915439,0.9200855400105005,0.9206946998682723,0.0005973846681961812,5,0.0029185373682448232,0.002905023799579004,0.0029279205023804923,0.002917160556734773,9.398101128971856e-06,6
7,52.694660584131874,0.09816235129152184,2.0405165354410806,0.07528330559943774,64,33,"{'n_estimators': 64, 'max_depth': 33}",0.9214952491066017,0.9219322952675156,0.9210879799323496,0.9215051747688223,0.00034476173934765045,3,0.002899397624129647,0.002897410577614029,0.0029092384120977515,0.0029020155379471425,5.171364855977502e-06,8
8,6.304424683252971,0.014632575194126219,0.32227285703023273,0.01059571812574439,23,4,"{'n_estimators': 23, 'max_depth': 4}",0.4757619048570196,0.46366369296837445,0.45937431887023267,0.4662666388985422,0.00693876738598033,10,0.007396367295890596,0.00750694934783816,0.007515794115237813,0.007473036919655523,5.433372730192609e-05,1
9,42.70855585734049,0.27246433649577817,1.6677823861440022,0.055190654577227015,52,71,"{'n_estimators': 52, 'max_depth': 71}",0.9206783881645905,0.9211595605361645,0.9210272256626987,0.9209550581211512,0.00020295784181500667,4,0.0029139429167970203,0.0029111691798024727,0.0029105296151815518,0.0029118805705936816,1.4814890308746085e-06,7
