,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,180.73773503303528,6.321322441101074,0.823514388873963,0.003947441682164711,0.0024436373310232607,0.03981349422584457,0.2505803108215332,0.28766584396362305,0.9058622100843896,0.0013977037492656262,0.0010628173012865436,0.008961481972248886
1,186.03878736495972,7.111363887786865,0.8167943443909907,0.004010519674144342,0.002460826469450356,0.04539045295425326,0.14202117919921875,0.2111659049987793,0.9052450193228986,0.001418469543662644,0.0010776591357445184,0.008964152373452938
2,181.82439756393433,6.305794954299927,0.8255095308131322,0.003911620228076237,0.002422421965982725,0.048415958682556326,0.16862988471984863,0.17225956916809082,0.9059786518652923,0.0013925455312985362,0.0010607653130405746,0.007756866042100796
3,184.09181690216064,6.106031894683838,0.8191261357115909,0.0039918384369230855,0.002439768925752629,0.07361402544336804,0.11528515815734863,0.21056222915649414,0.9057295481135857,0.0013993508630356461,0.001063078305838321,0.008485937641403374
4,190.4879219532013,5.695157051086426,0.8226498586817335,0.003933742018611949,0.0024255439273421528,0.05137091487969736,0.11051487922668457,0.20688176155090332,0.9054012801703217,0.001410269883384889,0.0010734196958572298,0.008967760124784063
mean,184.63613176345825,6.307934045791626,0.8215188516942821,0.003959032407984065,0.002438439723910225,0.05172096923714391,0.15740628242492677,0.21770706176757812,0.9056433419112976,0.0014036679141294685,0.0010675479503534375,0.008627239630798011
std,3.86039234100534,0.5152532046750792,0.0035083088626665236,4.107626332394396e-05,1.5433878411363395e-05,0.012963554107773195,0.057046172134633116,0.04234007640412821,0.00031025083506198465,1.0495115856845897e-05,7.501239845478345e-06,0.0005288427890013449
