,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tol,param_kernel,param_gamma,param_epsilon,param_C,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse
0,10.18736629486084,0.17723762300632914,0.09434704780578614,0.0025025855953629064,0.001,linear,scale,0.00163,2.49,"{'tol': 0.001, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.00163, 'C': 2.49}",0.9833734810829275,0.9821871100860369,0.9832455933407156,0.9817824157623826,0.9830887098408488,0.9827354620225822,0.0006326252167923968,5,0.0014231112570761882,0.0014152365707449947,0.0014244001006727919,0.0014389326208492947,0.001425696710578096,0.0014254754519842732,7.651468307006348e-06,26
1,26.405427503585816,0.8118838022839734,0.6003267288208007,0.015267123858726493,0.001,rbf,scale,0.000944,1.015,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.000944, 'C': 1.015}",0.9694477262757288,0.9670469388564722,0.9698224734806433,0.9684330280559261,0.9690234745414289,0.9687547282420399,0.0009708332851623551,19,0.0019291231680525203,0.0019249069150233937,0.0019116539989884494,0.0018941376085625282,0.0019295459637652956,0.0019178735308784376,1.3522907259126589e-05,12
2,13.138976287841796,0.2953161474543324,0.215875244140625,0.003430077288330794,0.001,linear,scale,0.000666,0.95,"{'tol': 0.001, 'kernel': 'linear', 'gamma': 'scale', 'epsilon': 0.000666, 'C': 0.95}",0.983336257542394,0.9824093814301846,0.9830517176090249,0.9818872303111706,0.9830575952234195,0.9827484364232386,0.0005272051906581179,3,0.0014247034010413454,0.0014063791083529088,0.0014326177090656844,0.0014347872129198177,0.0014270076579352238,0.001425099017862996,1.0046156205446415e-05,28
3,75.5486351966858,1.1267903070217613,0.3473343849182129,0.019136348018135303,0.001,linear,auto,1e-05,4.38,"{'tol': 0.001, 'kernel': 'linear', 'gamma': 'auto', 'epsilon': 1e-05, 'C': 4.38}",0.9834093901110775,0.9824168436687308,0.9829716226583513,0.9818254611457768,0.9829986046107823,0.9827243844389437,0.0005492177387840948,6,0.0014215736482601994,0.0014060807717822352,0.001435998883458513,0.0014372316258881527,0.0014294897999088017,0.0014260749458595804,1.1442429392557406e-05,25
4,28.778447532653807,0.4032975138556165,0.7582557678222657,0.012462131151394199,0.001,rbf,scale,0.00049,0.425,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'scale', 'epsilon': 0.00049, 'C': 0.425}",0.9707684096175592,0.9670138566160733,0.9715856996370555,0.9697673511170879,0.9698272337618041,0.9697925101499159,0.0015421194814297552,18,0.001886967459128298,0.0019258728990116784,0.0018549659968770044,0.001853673174970414,0.0019043481181047223,0.0018851655296184236,2.8043140883247003e-05,13
5,1.181590461730957,0.05820087044045201,0.25675463676452637,0.01984582619514825,0.001,poly,auto,0.00105,1.38,"{'tol': 0.001, 'kernel': 'poly', 'gamma': 'auto', 'epsilon': 0.00105, 'C': 1.38}",0.9211729402027359,0.9246055017437382,0.9174227550659784,0.9248797600633024,0.9261147203314913,0.9228391354814492,0.003166292408428023,25,0.0030986737463932785,0.0029115997824470147,0.003162260651762011,0.0029219551683445782,0.0029800101122774846,0.003014899892244873,9.92574261359527e-05,6
6,2.112934637069702,0.03257987344212525,0.1891798496246338,0.0058353983485106556,0.001,rbf,auto,0.001844,2.095,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.001844, 'C': 2.095}",0.9831644653810889,0.9816337730318373,0.9830742325828042,0.9817705708378265,0.9829649120401475,0.982521590774741,0.0006734219720391823,16,0.0014320284451560987,0.0014370498181616527,0.0014316658111402556,0.0014394003359573444,0.001430905546871932,0.0014342099914574568,3.3809952235276804e-06,15
7,3.4072317600250246,0.035770345792284504,1.2013304710388184,0.03454119902265835,0.001,sigmoid,scale,0.000896,3.205,"{'tol': 0.001, 'kernel': 'sigmoid', 'gamma': 'scale', 'epsilon': 0.000896, 'C': 3.205}",-282536169.82706547,-278472056.6966085,-308337983.5618857,-296647359.04573596,-292852491.9439822,-291769212.2150556,10597711.187199902,28,185.51337054769712,176.95085382647054,193.2328610536568,183.61802378930557,187.613134644222,185.3856487722704,5.307108640472623,3
8,3.3887009143829347,0.028714185922217847,1.203779411315918,0.029512980612051758,0.001,sigmoid,scale,0.000928,1.23,"{'tol': 0.001, 'kernel': 'sigmoid', 'gamma': 'scale', 'epsilon': 0.000928, 'C': 1.23}",-41619332.770735726,-41018679.50503917,-45417751.436998494,-43699166.08156949,-43137664.599576786,-42978518.87878393,1560953.0724256113,27,71.200943819325,67.91296528365048,74.16180456898395,70.4744418003502,72.0057364863588,71.15117839173368,2.0366940202934973,4
9,6.293605327606201,0.1926125028690276,0.3836026668548584,0.003854541748079191,0.001,rbf,auto,0.001188,3.17,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.001188, 'C': 3.17}",0.9832644259416976,0.9819733500322134,0.9830348799437129,0.9820315725504015,0.9832356860536569,0.9827079829043365,0.0005817521062613437,9,0.0014277707995105763,0.0014237028798667689,0.001433329166097088,0.001429058805414076,0.0014194878176830611,0.0014266698937143141,4.725466932266101e-06,22
10,7.489790439605713,0.10797855552514697,0.5138484954833984,0.023928703549134702,0.001,rbf,auto,0.000914,2.725,"{'tol': 0.001, 'kernel': 'rbf', 'gamma': 'auto', 'epsilon': 0.000914, 'C': 2.725}",0.983202116110523,0.9820274599402847,0.9828794642095616,0.981887358210238,0.9832363996022804,0.9826465596145775,0.0005780086436560953,13,0.0014304262657407868,0.001421564536681993,0.0014398794897215637,0.001434782147204482,0.0014194576081451157,0.0014292220094987882,7.745032896470859e-06,18
11,5.483699083328247,0.12683119002123663,0.852363109588623,0.021427165634246802,0.001,sigmoid,auto,0.000852,4.675,"{'tol': 0.001, 'kernel': 'sigmoid', 'gamma': 'auto', 'epsilon': 0.000852, 'C': 4.675}",-10.731042041058926,-9.713329861562588,-10.658396954027102,-10.59559926760674,-10.911831869743574,-10.522039998799785,0.41800378650410225,26,0.03780127811626204,0.034707560475546455,0.0375739530823422,0.03630292881985816,0.03783798968587924,0.036844742035977616,0.0012078375305039836,5
