,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_beta_1,param_beta_2,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,param_tol,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
294,0.12714576721191406,0.03258085250854492,0.0009772777557373047,0.00013113021850585938,logistic,0.0001,0.9,0.999,"(100, 100)",1e-05,100000,100,lbfgs,1e-09,"{'activation': 'logistic', 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'lbfgs', 'tol': 1e-09}",-46.42883408030166,-5.671567258243632,-26.050200669272648,20.378633411029014,209
295,3.3996797800064087,0.061966538429260254,0.0008252859115600586,8.225440979003906e-06,logistic,0.0001,0.9,0.999,"(100, 100)",1e-05,100000,100,sgd,1e-09,"{'activation': 'logistic', 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 1e-09}",-6.21388277037158,-9.684633527884797,-7.949258149128188,1.7353753787566086,116
296,6.190072774887085,0.17370891571044922,0.0008654594421386719,1.049041748046875e-05,logistic,0.0001,0.9,0.999,"(100, 100)",1e-05,100000,100,adam,1e-09,"{'activation': 'logistic', 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 1e-09}",-12.200085382969569,-29.683200925940803,-20.941643154455186,8.741557771485617,184
297,0.03576004505157471,0.01174938678741455,0.0011584758758544922,0.000293731689453125,logistic,0.0001,0.9,0.999,"(100, 100, 100)",1e-05,100000,100,lbfgs,1e-09,"{'activation': 'logistic', 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'lbfgs', 'tol': 1e-09}",-0.08319510233490147,-0.31948201493317907,-0.20133855863404027,0.1181434562991388,32
298,4.714934825897217,0.12225198745727539,0.0010777711868286133,5.960464477539062e-07,logistic,0.0001,0.9,0.999,"(100, 100, 100)",1e-05,100000,100,sgd,1e-09,"{'activation': 'logistic', 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 1e-09}",-1.7500147798655823,-1.9576426423890767,-1.8538287111273295,0.1038139312617472,65
299,7.171136975288391,0.10209405422210693,0.0011368989944458008,0.00016605854034423828,logistic,0.0001,0.9,0.999,"(100, 100, 100)",1e-05,100000,100,adam,1e-09,"{'activation': 'logistic', 'alpha': 0.0001, 'beta_1': 0.9, 'beta_2': 0.999, 'hidden_layer_sizes': (100, 100, 100), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 1e-09}",-0.3984763483259234,-4.332455697238901,-2.365466022782412,1.9669896744564888,71
300,0.027759671211242676,0.016916394233703613,0.0005747079849243164,1.3947486877441406e-05,logistic,0.001,0.09,0.0999,"(10, 10)",1e-05,100000,100,lbfgs,1e-09,"{'activation': 'logistic', 'alpha': 0.001, 'beta_1': 0.09, 'beta_2': 0.0999, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'lbfgs', 'tol': 1e-09}",-48.067122208371636,-111.66491317822361,-79.86601769329762,31.79889548492599,327
301,9.650282502174377,0.24692952632904053,0.0006303787231445312,2.0265579223632812e-05,logistic,0.001,0.09,0.0999,"(10, 10)",1e-05,100000,100,sgd,1e-09,"{'activation': 'logistic', 'alpha': 0.001, 'beta_1': 0.09, 'beta_2': 0.0999, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 1e-09}",-42.39495018622527,-67.09304069794709,-54.74399544208618,12.349045255860908,287
302,35.50217354297638,11.563003659248352,0.0007333755493164062,6.127357482910156e-05,logistic,0.001,0.09,0.0999,"(10, 10)",1e-05,100000,100,adam,1e-09,"{'activation': 'logistic', 'alpha': 0.001, 'beta_1': 0.09, 'beta_2': 0.0999, 'hidden_layer_sizes': (10, 10), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 1e-09}",-34.211540701865104,-9.23842917863549,-21.724984940250298,12.486555761614806,187
303,0.019103407859802246,0.015346407890319824,0.0004930496215820312,2.6226043701171875e-06,logistic,0.001,0.09,0.0999,"(10, 10, 10)",1e-05,100000,100,lbfgs,1e-09,"{'activation': 'logistic', 'alpha': 0.001, 'beta_1': 0.09, 'beta_2': 0.0999, 'hidden_layer_sizes': (10, 10, 10), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'lbfgs', 'tol': 1e-09}",-0.14137704548125188,-0.5353869624597518,-0.33838200397050183,0.19700495848924998,39
304,11.521033525466919,0.4994690418243408,0.008736610412597656,0.008067607879638672,logistic,0.001,0.09,0.0999,"(10, 10, 10)",1e-05,100000,100,sgd,1e-09,"{'activation': 'logistic', 'alpha': 0.001, 'beta_1': 0.09, 'beta_2': 0.0999, 'hidden_layer_sizes': (10, 10, 10), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'sgd', 'tol': 1e-09}",-20.832196236401572,-24.827940868349735,-22.830068552375653,1.9978723159740817,193
305,27.091826558113098,2.9165362119674683,0.0005756616592407227,6.318092346191406e-06,logistic,0.001,0.09,0.0999,"(10, 10, 10)",1e-05,100000,100,adam,1e-09,"{'activation': 'logistic', 'alpha': 0.001, 'beta_1': 0.09, 'beta_2': 0.0999, 'hidden_layer_sizes': (10, 10, 10), 'learning_rate_init': 1e-05, 'max_iter': 100000, 'n_iter_no_change': 100, 'solver': 'adam', 'tol': 1e-09}",-6.217287148312115,-1.1644668814920398,-3.6908770149020773,2.526410133410038,82
