,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,43.493709325790405,0.6432626247406006,1.658469319343567,0.0445326566696167,34,69,"{'n_estimators': 34, 'max_depth': 69}",0.840949308017217,0.838208293202505,0.839578800609861,0.001370507407356003,8
1,30.493610620498657,0.5608577728271484,0.4935420751571655,0.020571112632751465,65,4,"{'n_estimators': 65, 'max_depth': 4}",0.4489129101609203,0.4290462696383118,0.43897958989961605,0.009933320261304251,20
2,13.838940143585205,0.06058001518249512,0.5158380270004272,0.004995465278625488,11,82,"{'n_estimators': 11, 'max_depth': 82}",0.823948289039983,0.8210461971617723,0.8224972431008777,0.0014510459391053332,14
3,2.564700722694397,0.03780567646026611,0.1167445182800293,0.010365009307861328,2,22,"{'n_estimators': 2, 'max_depth': 22}",0.7041897122908403,0.7045884325139505,0.7043890724023953,0.00019936011155513578,18
4,7.626766800880432,0.0597151517868042,0.31920933723449707,0.008384943008422852,6,80,"{'n_estimators': 6, 'max_depth': 80}",0.8018651825770983,0.8018731603724187,0.8018691714747586,3.988897660234247e-06,15
5,57.227864503860474,1.0863769054412842,2.487053632736206,0.07949280738830566,46,32,"{'n_estimators': 46, 'max_depth': 32}",0.8430096948129233,0.841286832762677,0.8421482637878002,0.0008614310251231494,6
6,1.364808440208435,0.028415799140930176,0.08413660526275635,0.013259053230285645,1,40,"{'n_estimators': 1, 'max_depth': 40}",0.5647996335311936,0.5676216016025075,0.5662106175668505,0.0014109840356569814,19
7,73.53121995925903,0.23128890991210938,3.663903832435608,0.17635762691497803,58,48,"{'n_estimators': 58, 'max_depth': 48}",0.8437326332301142,0.8418222248933039,0.842777429061709,0.0009552041684051105,3
8,95.7072149515152,0.713079571723938,3.8680349588394165,0.05004251003265381,74,29,"{'n_estimators': 74, 'max_depth': 29}",0.8447253535025604,0.8430653354299797,0.84389534446627,0.0008300090362903245,2
9,109.69387924671173,0.39100611209869385,4.69481635093689,0.011412858963012695,86,52,"{'n_estimators': 86, 'max_depth': 52}",0.845624991063255,0.8439818874883882,0.8448034392758216,0.0008215517874333722,1
10,68.88951110839844,0.5127532482147217,2.810051441192627,0.03494739532470703,54,78,"{'n_estimators': 54, 'max_depth': 78}",0.8440123553616671,0.8414668670270505,0.8427396111943588,0.0012727441673082707,4
11,65.71577048301697,0.059850215911865234,2.601933002471924,0.11253571510314941,51,48,"{'n_estimators': 51, 'max_depth': 48}",0.8434111252223482,0.8411762258174025,0.8422936755198753,0.0011174497024728502,5
12,21.960532426834106,0.02741861343383789,0.8478375673294067,0.08516585826873779,17,77,"{'n_estimators': 17, 'max_depth': 77}",0.8335833886775296,0.8304897794090482,0.8320365840432888,0.0015468046342406727,12
13,37.02899992465973,0.3459864854812622,1.1728222370147705,0.020786523818969727,32,14,"{'n_estimators': 32, 'max_depth': 14}",0.8370533350837703,0.8344708072273288,0.8357620711555496,0.001291263928220765,11
14,31.411423563957214,0.21059906482696533,1.209825038909912,0.009305238723754883,25,94,"{'n_estimators': 25, 'max_depth': 94}",0.8368780847448904,0.8364768480720586,0.8366774664084745,0.0002006183364159364,9
15,29.258960485458374,0.3788740634918213,1.1243025064468384,0.016700148582458496,23,41,"{'n_estimators': 23, 'max_depth': 41}",0.836989789452139,0.836180474505459,0.8365851319787989,0.0004046574733400088,10
16,47.69594347476959,0.337607741355896,1.92460036277771,0.03556680679321289,38,18,"{'n_estimators': 38, 'max_depth': 18}",0.8419140369730572,0.8390894217603672,0.8405017293667122,0.0014123076063450313,7
17,73.19315552711487,0.8858466148376465,0.8527246713638306,0.017960429191589355,90,10,"{'n_estimators': 90, 'max_depth': 10}",0.7874252479827183,0.7838489859941297,0.785637116988424,0.0017881309942943124,16
18,2.6349518299102783,0.02530360221862793,0.11444258689880371,0.0005807876586914062,2,77,"{'n_estimators': 2, 'max_depth': 77}",0.7084996736839071,0.7058500655802976,0.7071748696321023,0.00132480405180474,17
19,22.019509315490723,0.12002968788146973,0.7562952041625977,0.047951459884643555,17,99,"{'n_estimators': 17, 'max_depth': 99}",0.8319078256324589,0.8306876426418787,0.8312977341371688,0.0006100914952901215,13
