,svr_svr_fit_time_label_0,svr_svr_score_time_label_0,svr_svr_test_r2_label_0,svr_svr_test_rmse_label_0,svr_svr_test_mae_label_0,svr_svr_test_maxae_label_0,svr_svr_fit_time_label_1,svr_svr_score_time_label_1,svr_svr_test_r2_label_1,svr_svr_test_rmse_label_1,svr_svr_test_mae_label_1,svr_svr_test_maxae_label_1,svr_svr_fit_time_label_2,svr_svr_score_time_label_2,svr_svr_test_r2_label_2,svr_svr_test_rmse_label_2,svr_svr_test_mae_label_2,svr_svr_test_maxae_label_2,svr_svr_fit_time_label_3,svr_svr_score_time_label_3,svr_svr_test_r2_label_3,svr_svr_test_rmse_label_3,svr_svr_test_mae_label_3,svr_svr_test_maxae_label_3,svr_svr_fit_time_label_4,svr_svr_score_time_label_4,svr_svr_test_r2_label_4,svr_svr_test_rmse_label_4,svr_svr_test_mae_label_4,svr_svr_test_maxae_label_4,svr_svr_fit_time_label_5,svr_svr_score_time_label_5,svr_svr_test_r2_label_5,svr_svr_test_rmse_label_5,svr_svr_test_mae_label_5,svr_svr_test_maxae_label_5,svr_svr_fit_time_label_6,svr_svr_score_time_label_6,svr_svr_test_r2_label_6,svr_svr_test_rmse_label_6,svr_svr_test_mae_label_6,svr_svr_test_maxae_label_6,svr_svr_fit_time_label_7,svr_svr_score_time_label_7,svr_svr_test_r2_label_7,svr_svr_test_rmse_label_7,svr_svr_test_mae_label_7,svr_svr_test_maxae_label_7,svr_svr_fit_time_label_8,svr_svr_score_time_label_8,svr_svr_test_r2_label_8,svr_svr_test_rmse_label_8,svr_svr_test_mae_label_8,svr_svr_test_maxae_label_8,svr_svr_fit_time_label_9,svr_svr_score_time_label_9,svr_svr_test_r2_label_9,svr_svr_test_rmse_label_9,svr_svr_test_mae_label_9,svr_svr_test_maxae_label_9,svr_svr_fit_time_label_10,svr_svr_score_time_label_10,svr_svr_test_r2_label_10,svr_svr_test_rmse_label_10,svr_svr_test_mae_label_10,svr_svr_test_maxae_label_10,svr_svr_fit_time_label_11,svr_svr_score_time_label_11,svr_svr_test_r2_label_11,svr_svr_test_rmse_label_11,svr_svr_test_mae_label_11,svr_svr_test_maxae_label_11,svr_svr_fit_time_label_12,svr_svr_score_time_label_12,svr_svr_test_r2_label_12,svr_svr_test_rmse_label_12,svr_svr_test_mae_label_12,svr_svr_test_maxae_label_12,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,0.0007741451263427734,0.0012199878692626953,-19.94815800342696,6.530241917167401e-05,6.372469265908398e-05,7.799247087358907e-05,0.001371622085571289,0.0014164447784423828,-2.736543699911195,0.014703659059153884,0.012031883253972253,0.02048359166651348,0.0004894733428955078,0.0011448860168457031,-2.8033862001367935,0.012695892552905656,0.0104737963837781,0.017649120559457,0.0006155967712402344,0.0016531944274902344,-0.8323722270075089,0.008195477904751614,0.005929648566160017,0.011586955873449267,0.0006995201110839844,0.001861572265625,-0.7683416764234154,0.009224291488396314,0.006736434313427853,0.01303786321517486,0.0004570484161376953,0.0011179447174072266,-0.7693953805476492,0.009202748675227135,0.006719487840929794,0.013007497568577442,0.0004756450653076172,0.001421213150024414,0.010825590841752719,0.013035017676388568,0.01195947180440815,0.017144326670586074,0.000606536865234375,0.0015187263488769531,-0.15957334607395457,0.012854922356114478,0.01105756829950827,0.0176134215684155,0.0005083084106445312,0.0012102127075195312,-0.24527811716109738,0.010149610833228852,0.008446929623773414,0.014074005240558352,0.0004565715789794922,0.0011949539184570312,-0.24497904535510773,0.010148781675358888,0.008446757860261167,0.01407259567735264,0.0007944107055664062,0.001783132553100586,-0.38287555448978816,0.011204262983089897,0.008952689736977937,0.015689518031334893,0.0005345344543457031,0.0013623237609863281,-0.41684328709813223,0.018890410089379337,0.014964602012743633,0.0264931873528933,0.00057220458984375,0.0015401840209960938,-0.24527811716109738,0.010149610833228852,0.008446929623773414,0.014074005240558352,0.010434389114379883,0.0021140575408935547,-19.661880161549597,0.0016179413034046151,0.0011578885648527032,0.0044838827178086405
1,0.0006926059722900391,0.0012502670288085938,-19.100565324482627,7.603153473755963e-05,7.411612954066893e-05,9.107471487257435e-05,0.0005981922149658203,0.0013496875762939453,-1.3079089118047396,0.004220484079234721,0.003251229195924632,0.005942324619472639,0.0006096363067626953,0.001422882080078125,-14.053533658407746,0.004325400783072032,0.004157225663955266,0.005351615346241512,0.0004611015319824219,0.00121307373046875,-1309.4330769091118,0.004493722370940797,0.004489808010539553,0.004677330744064401,0.0004405975341796875,0.0011556148529052734,-41.40463543779637,0.005481848133702322,0.005432042678730542,0.006169315557267074,0.0006089210510253906,0.0014908313751220703,-42.891281058070575,0.005533162900266831,0.0054844067181843426,0.006217328699314462,0.0005784034729003906,0.00159454345703125,-71.44993488488687,0.014657114594393722,0.014585274497810718,0.016034679912697025,0.0006508827209472656,0.001760244369506836,-56.32991264001445,0.013558724765607436,0.013484391731252376,0.014902205861393902,0.0004494190216064453,0.0012264251708984375,-32.58131064911604,0.009483307938064123,0.00942450543594947,0.010478937385346332,0.0006206035614013672,0.001451253890991211,-32.60607305625658,0.009482780283664428,0.00942406404080115,0.010477695315552205,0.0006453990936279297,0.0016407966613769531,-21.364952561220832,0.008393509622828843,0.00830836408680874,0.009500878233285492,0.0006754398345947266,0.0017375946044921875,-84.56577824242007,0.021225162665736985,0.021127805566950153,0.023158411907958976,0.0006456375122070312,0.001657724380493164,-32.58131064911604,0.009483307938064123,0.00942450543594947,0.010478937385346332,0.014684200286865234,0.0013289451599121094,-26.10640457433481,0.005323013391796831,0.0040283377163018615,0.015223557562439316
2,0.000843048095703125,0.001226186752319336,-10.407982906936878,3.57235523735224e-05,3.412192257201685e-05,4.4698623105410284e-05,0.0004830360412597656,0.0012354850769042969,-5.644437564362917,0.016769587024450992,0.01541557012610234,0.0220170280452181,0.0005514621734619141,0.0015337467193603516,-5.810535337080767,0.01616755877430554,0.014941222016687516,0.021117777801967552,0.0006122589111328125,0.00152587890625,-8.561841890876433,0.011750930213499074,0.011114200190806334,0.014929814820352383,0.0007317066192626953,0.0018248558044433594,-38.94781485117228,0.01322182463903202,0.01303948615362538,0.015227738340811814,0.0006685256958007812,0.0018024444580078125,-39.43233418923245,0.013236946946815304,0.01305658267909049,0.015234290927887195,0.0005457401275634766,0.0014541149139404297,-10.220035077254344,0.02658941714498836,0.02548364821632476,0.033071848114641145,0.0005795955657958984,0.0014803409576416016,-7.959450671627257,0.024321569156932243,0.023078226123547263,0.030755087803026604,0.0004432201385498047,0.0010790824890136719,-6.179281361046481,0.01983790312411134,0.01851162010050389,0.025643402599728526,0.0007302761077880859,0.0017137527465820312,-6.177765012233495,0.01984200952674618,0.01851511047388149,0.025649255566283946,0.0006875991821289062,0.0017082691192626953,-7.110526733099396,0.022082304464093927,0.020746265337335923,0.02831069823067278,0.0006949901580810547,0.001821279525756836,-7.284001763309597,0.02968226958251869,0.02822554921270093,0.03741007419827924,0.0005686283111572266,0.0017240047454833984,-6.179281361046481,0.01983790312411134,0.01851162010050389,0.025643402599728526,0.009075164794921875,0.0018978118896484375,-69.6687051293185,0.0040369932790981335,0.0033789959692239148,0.007807832159006156
3,0.0007307529449462891,0.001192331314086914,-0.014328398790820929,6.394551551892376e-05,6.349226211732617e-05,7.109236778801709e-05,0.0005846023559570312,0.0014944076538085938,-7.496759747343528,0.010365234881658109,0.010237788723202967,0.011858213424014497,0.0005288124084472656,0.0014336109161376953,-11.923525152854234,0.010297052977069654,0.0102088504638424,0.01155371931227478,0.0005338191986083984,0.001453399658203125,-170.86663024878052,0.008016932946405795,0.007959795592177799,0.008915236850400188,0.0005757808685302734,0.0015828609466552734,-279.9667102609847,0.009846427454915166,0.009800739909222922,0.010748173736290667,0.0004477500915527344,0.001142740249633789,-264.0222147053843,0.009821091313759913,0.00977380497511432,0.010736390504634152,0.0005180835723876953,0.0013246536254882812,-13.933517805495052,0.015127408825150911,0.014787920105584829,0.017974755010956245,0.0008306503295898438,0.0019528865814208984,-20.1839025769103,0.01297745617910101,0.012755481428559035,0.01514547356372864,0.0007848739624023438,0.0011413097381591797,-125.2844879883589,0.013553134413760002,0.013502909562516041,0.014668622127412934,0.0006704330444335938,0.0019936561584472656,-125.64453710112315,0.013557579818337696,0.01350749881717267,0.014671735148282683,0.00070953369140625,0.001901388168334961,-502.66693231490746,0.01477969140558762,0.014766781648125504,0.015384388157955509,0.00042557716369628906,0.0010988712310791016,-2.074701015454411,0.007222390334136003,0.006247976430877655,0.00987091897221315,0.0007004737854003906,0.002020597457885742,-125.2844879883589,0.013553134413760002,0.013502909562516041,0.014668622127412934,0.012471199035644531,0.0012927055358886719,-50.037609362954804,0.006690729713757164,0.005882122309353246,0.011662661336933167
4,0.0005080699920654297,0.0011799335479736328,-0.02936274515058468,0.00010415576596700865,0.00010265948801657654,0.00012025076722954608,0.0005500316619873047,0.0014624595642089844,-0.22319530204085303,0.01559747095665789,0.011760112686831414,0.022006128977898554,0.0005609989166259766,0.001394033432006836,-0.4452706744455941,0.013658577818222889,0.009823993204353898,0.0193132453106718,0.0004382133483886719,0.0011556148529052734,-2.635674763961631,0.007588825314014966,0.0063327333434106126,0.01051445046056354,0.0004258155822753906,0.0010769367218017578,-2.3734207388025177,0.009200505490177495,0.007658843628982448,0.012757021297677529,0.00046253204345703125,0.0010788440704345703,-2.3488294243678585,0.00919770382403303,0.007644587568052752,0.012759080362945041,0.0006139278411865234,0.0016283988952636719,-177.403054283298,0.0077972596895417795,0.0074681510099834925,0.009709574476942762,0.0006473064422607422,0.0017549991607666016,-200.70959685640355,0.008554514075826606,0.008154394324226655,0.010740040138822238,0.0005457401275634766,0.001352548599243164,-29.526671044334122,0.008742831013926512,0.008196976802465838,0.011237809819570233,0.0005881786346435547,0.001529693603515625,-29.583737222337756,0.008741142684169664,0.008195788465275133,0.01123497040413235,0.0005860328674316406,0.0017714500427246094,-42.00513130444,0.007747764454178648,0.007340125141678588,0.009820128557388341,0.0006804466247558594,0.0017371177673339844,-105.34994110515679,0.009954773801892641,0.009686269988636032,0.011982722721460504,0.0007982254028320312,0.0018634796142578125,-29.526671044334122,0.008742831013926512,0.008196976802465838,0.011237809819570233,0.004617214202880859,0.0011301040649414062,-16.384238292350496,0.007313728272438747,0.005108365433230886,0.018830086831717052
mean,0.0007097244262695313,0.0012137413024902344,-9.900079475757575,6.903175755373769e-05,6.76228989811345e-05,8.102178877382738e-05,0.0007174968719482422,0.0013916969299316406,-3.481769045092647,0.01233128720023112,0.01053931679720672,0.016461457346623454,0.0005480766296386719,0.0013858318328857423,-7.007250204585027,0.011428896581115153,0.009921017546523437,0.014997095666122529,0.0005321979522705078,0.0014002323150634766,-298.46591920794754,0.008009177749922448,0.007165237140618863,0.010124757749765956,0.0005746841430664063,0.0015003681182861328,-72.69218459303586,0.009394979441244664,0.008533509336797829,0.01158802242944439,0.0005289554595947265,0.0013265609741210938,-69.89281095152056,0.009398330732020442,0.00853577395627434,0.011590917612671659,0.0005463600158691406,0.0014845848083496094,-54.5991432920185,0.015441243586092671,0.01485689312682239,0.01878703683716465,0.000662994384765625,0.0016934394836425782,-57.0684872182059,0.014453437306716355,0.01370601238141872,0.017831245787077378,0.0005463123321533203,0.0012019157409667968,-38.76340583200333,0.012353357464618164,0.01161658830504173,0.015220555434523275,0.0006132125854492188,0.0015766620635986328,-38.851418287461215,0.012354458797655371,0.011617843931478323,0.015221250422320764,0.0006845951080322266,0.001761007308959961,-114.70608369363148,0.012841506585955786,0.012022845190185339,0.015741122242127405,0.0006021976470947266,0.0015514373779296875,-39.9382530826878,0.017395001294732728,0.01605044064238168,0.021783063030561035,0.000657033920288086,0.0017611980438232422,-38.76340583200333,0.012353357464618164,0.01161658830504173,0.015220555434523275,0.010256433486938476,0.001552724838256836,-36.37176750410164,0.0049964811920990984,0.003911141998592523,0.011601604121580867
std,0.00012582227379097857,2.797047268933925e-05,9.75999373690678,2.4657185579312603e-05,2.4618581438275e-05,2.7690777372870642e-05,0.0003683716962288293,0.00010287884626394393,3.0288866352386647,0.005139190084156163,0.0044917447562980994,0.007239256206880634,4.408371777308576e-05,0.00014461719101610448,5.830609836770195,0.004493673305038167,0.003834761261864829,0.006481073694082461,8.254628296263673e-05,0.00021063576450650035,569.7547297641684,0.002577333994723423,0.0025299849323892226,0.0037588515201386168,0.00014175890344452025,0.0003676665346391627,117.47136879062414,0.0027490043925862714,0.0029800719189571425,0.003419936350552916,0.00010253213100833078,0.00031309915385128583,110.32155805161241,0.002735494782426469,0.0029738183689044604,0.003400409772540336,5.3368389302618775e-05,0.00012579324386710264,74.11173452226589,0.0068777819311773725,0.006633155698426636,0.008622498524653379,9.829055688690756e-05,0.00019461561114923705,83.13258747822675,0.005867529343019257,0.0056264050321012055,0.00763464119509318,0.0001399755254552814,0.00010261689086568073,50.38552509920521,0.004571309254691349,0.004405830728593936,0.006095083164110933,0.00010270805629924992,0.0002984594966516517,50.537027247574734,0.004573798161884462,0.004408004141262824,0.006098286838867532,7.736482676426678e-05,9.687269899266769e-05,217.46161448585966,0.0058643064023763064,0.00567402718040313,0.00761779125202649,0.00011818510210558972,0.0003092436669292225,50.82370379173356,0.009037731248326877,0.008828687919698602,0.01124973532959097,9.612947228934916e-05,0.0001862034602236976,50.38552509920521,0.004571309254691349,0.004405830728593936,0.006095083164110933,0.003799281620649911,0.0004273392025573539,22.800990241653885,0.002273866981411692,0.0018162754499989814,0.005710251760819438
