,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,117.94592261314392,5.595308542251587,0.923187515530615,0.001941377297864463,0.001263754240109822,0.012492727744538912,0.14032268524169922,0.19413042068481445,0.9056142899798381,0.0014083621810088542,0.0010713617871687781,0.007649992709963249
1,123.90303134918213,6.514207601547241,0.8550892849299245,0.0034178825104282905,0.0021830037829756507,0.025003654607341663,0.12438035011291504,0.24051403999328613,0.9059754172497855,0.0013827554442978483,0.0010554796228246588,0.008882199444292915
2,124.09781432151794,5.2293314933776855,0.8292531508514054,0.003798216563369713,0.0024485329145805877,0.03713683431362513,0.09218668937683105,0.20420360565185547,0.9056009960142474,0.001409419517959564,0.0010725891138385997,0.008521317874211287
3,119.0367374420166,5.125268220901489,0.9168210999277757,0.0020157617738565457,0.0013191276738888712,0.011765031601592368,0.09791803359985352,0.22006869316101074,0.9061071378958052,0.0014007727695836917,0.001067725444218999,0.007658373305439059
4,120.3398597240448,4.9170286655426025,0.8791201765865367,0.002920303592043934,0.0019058410128004054,0.01731799330424033,0.0916900634765625,0.19710397720336914,0.9055595671404989,0.0014035283516556955,0.0010691818839886737,0.0071907767368636355
mean,121.06467308998108,5.476228904724121,0.8806942455652516,0.002818708347512589,0.0018240519248710675,0.02074324831426768,0.10929956436157226,0.2112041473388672,0.905771481656035,0.0014009676529011307,0.0010672675704079418,0.007980532014154029
std,2.81161453983831,0.6301619585376015,0.040047176948336746,0.0008281305131094047,0.000523066533203084,0.010574882512295236,0.02192229676700963,0.019215778046083216,0.0002514643000066219,1.077488710764985e-05,6.8540387456510755e-06,0.0006968158587882058
