,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,svr_fit_time_label_0,svr_score_time_label_0,svr_test_r2_label_0,svr_test_rmse_label_0,svr_test_mae_label_0,svr_fit_time_label_1,svr_score_time_label_1,svr_test_r2_label_1,svr_test_rmse_label_1,svr_test_mae_label_1,svr_fit_time_label_2,svr_score_time_label_2,svr_test_r2_label_2,svr_test_rmse_label_2,svr_test_mae_label_2,svr_fit_time_label_3,svr_score_time_label_3,svr_test_r2_label_3,svr_test_rmse_label_3,svr_test_mae_label_3,svr_fit_time_label_4,svr_score_time_label_4,svr_test_r2_label_4,svr_test_rmse_label_4,svr_test_mae_label_4,svr_fit_time_label_5,svr_score_time_label_5,svr_test_r2_label_5,svr_test_rmse_label_5,svr_test_mae_label_5,svr_fit_time_label_6,svr_score_time_label_6,svr_test_r2_label_6,svr_test_rmse_label_6,svr_test_mae_label_6,svr_fit_time_label_7,svr_score_time_label_7,svr_test_r2_label_7,svr_test_rmse_label_7,svr_test_mae_label_7,svr_fit_time_label_8,svr_score_time_label_8,svr_test_r2_label_8,svr_test_rmse_label_8,svr_test_mae_label_8,svr_fit_time_label_9,svr_score_time_label_9,svr_test_r2_label_9,svr_test_rmse_label_9,svr_test_mae_label_9,svr_fit_time_label_10,svr_score_time_label_10,svr_test_r2_label_10,svr_test_rmse_label_10,svr_test_mae_label_10,svr_fit_time_label_11,svr_score_time_label_11,svr_test_r2_label_11,svr_test_rmse_label_11,svr_test_mae_label_11,svr_fit_time_label_12,svr_score_time_label_12,svr_test_r2_label_12,svr_test_rmse_label_12,svr_test_mae_label_12
0,0.004,0.002,0.903,0.001,0.001,0.001,0.001,-0.0,0.0,0.0,0.109,0.016,0.95,0.002,0.002,0.063,0.013,0.949,0.002,0.002,0.053,0.012,0.943,0.002,0.001,0.072,0.014,0.947,0.002,0.001,0.05,0.012,0.946,0.002,0.001,0.088,0.013,0.947,0.003,0.003,0.083,0.013,0.945,0.003,0.002,0.063,0.029,0.946,0.002,0.002,0.068,0.013,0.946,0.002,0.002,0.075,0.013,0.949,0.003,0.002,0.093,0.013,0.951,0.003,0.003,0.079,0.014,0.946,0.002,0.002
1,0.003,0.003,0.903,0.001,0.001,0.001,0.001,-0.013,0.0,0.0,0.081,0.013,0.958,0.002,0.002,0.056,0.012,0.956,0.002,0.002,0.039,0.011,0.943,0.002,0.001,0.056,0.015,0.946,0.002,0.001,0.063,0.012,0.945,0.002,0.001,0.076,0.013,0.952,0.003,0.002,0.071,0.012,0.949,0.003,0.002,0.065,0.033,0.945,0.002,0.002,0.075,0.013,0.945,0.002,0.002,0.073,0.013,0.947,0.003,0.002,0.106,0.014,0.953,0.003,0.003,0.066,0.013,0.945,0.002,0.002
2,0.001,0.002,0.901,0.001,0.001,0.001,0.001,-0.08,0.0,0.0,0.095,0.012,0.957,0.002,0.002,0.069,0.012,0.954,0.002,0.001,0.041,0.011,0.953,0.001,0.001,0.057,0.016,0.957,0.001,0.001,0.044,0.012,0.956,0.001,0.001,0.088,0.013,0.957,0.003,0.002,0.085,0.013,0.955,0.003,0.002,0.069,0.013,0.955,0.002,0.002,0.078,0.013,0.955,0.002,0.002,0.084,0.013,0.955,0.002,0.002,0.096,0.013,0.959,0.003,0.002,0.078,0.013,0.955,0.002,0.002
3,0.001,0.001,0.903,0.001,0.001,0.001,0.001,-0.013,0.0,0.0,0.063,0.012,0.95,0.002,0.002,0.074,0.013,0.948,0.002,0.002,0.039,0.011,0.941,0.001,0.001,0.042,0.011,0.941,0.002,0.001,0.043,0.024,0.94,0.002,0.001,0.09,0.013,0.952,0.003,0.002,0.088,0.013,0.949,0.003,0.002,0.061,0.025,0.946,0.002,0.002,0.082,0.013,0.945,0.002,0.002,0.082,0.012,0.947,0.002,0.002,0.093,0.013,0.953,0.003,0.002,0.081,0.013,0.946,0.002,0.002
4,0.001,0.001,0.906,0.001,0.001,0.001,0.001,-0.022,0.0,0.0,0.071,0.012,0.956,0.002,0.002,0.07,0.012,0.955,0.002,0.002,0.059,0.011,0.948,0.001,0.001,0.065,0.011,0.951,0.002,0.001,0.058,0.011,0.951,0.002,0.001,0.087,0.013,0.948,0.003,0.002,0.088,0.013,0.948,0.003,0.002,0.061,0.031,0.95,0.002,0.002,0.082,0.012,0.95,0.002,0.002,0.087,0.013,0.951,0.002,0.002,0.092,0.013,0.951,0.003,0.003,0.079,0.013,0.95,0.002,0.002
mean,0.002,0.002,0.903,0.001,0.001,0.001,0.001,-0.026,0.0,0.0,0.084,0.013,0.954,0.002,0.002,0.066,0.012,0.952,0.002,0.002,0.046,0.011,0.946,0.001,0.001,0.058,0.014,0.949,0.002,0.001,0.052,0.014,0.947,0.002,0.001,0.086,0.013,0.951,0.003,0.002,0.083,0.013,0.949,0.003,0.002,0.064,0.026,0.948,0.002,0.002,0.077,0.013,0.948,0.002,0.002,0.08,0.013,0.95,0.002,0.002,0.096,0.013,0.953,0.003,0.003,0.077,0.013,0.948,0.002,0.002
std,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.018,0.002,0.004,0.0,0.0,0.007,0.0,0.004,0.0,0.0,0.009,0.0,0.005,0.0,0.0,0.011,0.002,0.006,0.0,0.0,0.009,0.005,0.006,0.0,0.0,0.006,0.0,0.004,0.0,0.0,0.007,0.0,0.004,0.0,0.0,0.003,0.008,0.004,0.0,0.0,0.006,0.0,0.004,0.0,0.0,0.006,0.0,0.004,0.0,0.0,0.006,0.0,0.003,0.0,0.0,0.006,0.001,0.004,0.0,0.0
