,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,0.17360186576843262,0.034729957580566406,0.5460218459601811,0.0027962255671364184,0.002258138267332619,0.005818210997809992,0.0037441253662109375,0.0012645721435546875,0.7719219668307996,0.0019428319897117458,0.0015425793676793144,0.004006499651695972
1,0.1403212547302246,0.02413177490234375,0.5335615388433157,0.0018240685746570865,0.0015855505341056618,0.004504072826562622,0.0014407634735107422,0.003208637237548828,0.5633679555130358,0.0017039623998273922,0.0012548049797498982,0.004592167438474459
2,0.11627054214477539,0.04624009132385254,0.45759582644414903,0.002425646732722524,0.0019292443040978915,0.007945813689278602,0.0007658004760742188,0.001287698745727539,0.6764366340289567,0.0018504333559496882,0.001514841146822171,0.003681139632886077
3,0.14534378051757812,0.027371644973754883,0.4423231492849927,0.002563497712883533,0.002150167467356395,0.006107754599214421,0.0007925033569335938,0.0012199878692626953,0.6815973922664801,0.0019197386345103252,0.0016568820473263149,0.0037377866489378686
4,0.12074041366577148,0.024344682693481445,0.40458185238781214,0.00228040363141645,0.0019246617028456164,0.005974543549704947,0.0010941028594970703,0.0016751289367675781,0.5342594237587356,0.001965005292047803,0.0017004734521207975,0.003694047417696855
mean,0.13925557136535643,0.031363630294799806,0.47681684258409013,0.0023779684437632022,0.001969552455147637,0.006070079132514117,0.0015674591064453124,0.0017312049865722656,0.6455166744796016,0.0018763943344093912,0.0015339161987396994,0.003942328157938246
std,0.022852748980426836,0.009356048268295595,0.060799772189863065,0.0003633033538913726,0.0002583606760310348,0.0012293026400538455,0.0012471173661369466,0.0008458335410216016,0.09664722951895133,0.00010553593780460132,0.00017407175190146967,0.0003866875585135929
