,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,10.8407461643219,0.4971027374267578,0.6388465264895402,0.0024935071595274575,0.0017204923469519124,0.022987021232871996,0.010896682739257812,0.012236595153808594,0.6589523260862461,0.0024423865203323032,0.001683442385309196,0.02110348826487174
1,10.973757028579712,0.5060944557189941,0.6407065902992778,0.0024338380467910257,0.0016747686138992315,0.02781635935618021,0.010310888290405273,0.011044979095458984,0.6587980877018997,0.0023794536339820775,0.0016506151571796454,0.02360561075387857
2,10.555037260055542,0.4673175811767578,0.6446471980641058,0.002503370281270569,0.001718897222655243,0.02423533613814388,0.0061435699462890625,0.014908552169799805,0.6701987295791988,0.0024226341822631134,0.0016629666064167784,0.025867883216275755
3,10.859057664871216,0.5092904567718506,0.6563234434004018,0.0024786087436107565,0.0016787568970380792,0.025862134330231545,0.007401466369628906,0.01136636734008789,0.6689096079654919,0.002433331591456359,0.0016578267837163985,0.02864787005105429
4,10.830232858657837,0.46079373359680176,0.6401154237881462,0.0024790559175858515,0.001714960639725008,0.024993629688650043,0.005229949951171875,0.009879827499389648,0.660769865688166,0.0024162737043129053,0.0016690324241928447,0.024445736704222565
mean,10.811766195297242,0.48811979293823243,0.6441278364082944,0.002477676029757132,0.0017015751440538948,0.025178896149215535,0.007996511459350587,0.011887264251708985,0.6635257234042005,0.0024188159264693513,0.0016647766713629726,0.024734117798060583
std,0.15457046581793665,0.022535662483177194,0.007153656073403719,2.662405879430227e-05,2.2783485920316786e-05,0.0018132823404595911,0.002510411672270413,0.0018881732544116002,0.005576210148780393,2.416976140614698e-05,1.2436298350446036e-05,0.0027902080268623623
