,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,88.96039056777954,5.830247402191162,0.8025904096612074,0.0018486278041073949,0.0011126308113742014,0.03055213786773603,0.18839550018310547,0.21630167961120605,0.6707498591860301,0.0023984237566311226,0.0016501697392684454,0.02811701709869663
1,89.57539749145508,5.473330020904541,0.7954020310902854,0.0018689224542905473,0.00112196090914598,0.02434763289816766,0.19741511344909668,0.19263958930969238,0.6616652514070758,0.0024202433748512896,0.0016653094680871014,0.024641995467148292
2,88.77824974060059,5.642744064331055,0.7901491523810856,0.0019036523277599867,0.0011431933218762483,0.02684784455586897,0.1197197437286377,0.17948389053344727,0.6569804916472219,0.0024501591800568942,0.0016883078220438744,0.026181314389208454
3,88.40321469306946,5.862691879272461,0.801520792840322,0.0018488481190318505,0.0011099950236695627,0.025046141023133517,0.11851620674133301,0.20346975326538086,0.6645181185300214,0.002420045436683925,0.0016711521878395225,0.025326530572015393
4,91.488596200943,5.787717342376709,0.7985592379987388,0.001877696089876347,0.0011295119704908929,0.029794627361593773,0.11328864097595215,0.17921924591064453,0.6649214239227816,0.002433263262822337,0.0016779180291218814,0.028320375784420038
mean,89.44116973876953,5.719346141815185,0.7976443247943278,0.0018695493590132253,0.001123458407311377,0.02731767674129999,0.147467041015625,0.1942228317260742,0.6637670289386263,0.002424427002209114,0.0016705714492721649,0.026517446662297762
std,1.22044401958094,0.16117810109408473,0.005038187093414897,2.2891196490540792e-05,1.3480119747909711e-05,0.0027748333456849654,0.041671858162389795,0.01595173746993249,0.005028201438326523,1.9059735788597512e-05,1.4254881873736646e-05,0.0016475559341712091
