,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,0.8259844779968262,0.06295347213745117,0.6371989039805883,0.002058338620417254,0.00163033141027297,0.007433858528479109,0.0028209686279296875,0.0039713382720947266,0.7016063255157653,0.0018470589459443343,0.0014799683423676465,0.005500776226461501
1,0.7691137790679932,0.04374861717224121,0.6940716548548671,0.0022109230155214128,0.0017366493056936395,0.008390121161929054,0.0014832019805908203,0.0018911361694335938,0.7536808428751914,0.001969530354603633,0.0016020018407362669,0.006646538930757062
2,0.7653143405914307,0.03659510612487793,0.722860118218017,0.0019887643917775076,0.001546766828260785,0.006207588170437206,0.0011239051818847656,0.0017375946044921875,0.777325006582614,0.0017744576525825914,0.0014050171831179942,0.005199530699853239
3,0.7283492088317871,0.05861306190490723,0.6807272207464732,0.0020156929537553303,0.0016512080126878268,0.007983061828882643,0.0011260509490966797,0.001718282699584961,0.7335864862474962,0.0018351699162303973,0.0015264372213748016,0.006165905977414621
4,0.6932938098907471,0.05292320251464844,0.7302022699504405,0.001990560884614031,0.001581091319218346,0.007197371777166728,0.0010423660278320312,0.0017247200012207031,0.7968505592198898,0.0017138660288827058,0.001370145643165419,0.006757923844756819
mean,0.7564111232757569,0.05096669197082519,0.6930120335500772,0.002052855973217107,0.0016292093752267134,0.007442400293378948,0.0015192985534667968,0.0022086143493652345,0.7526098440881913,0.0018280165796487322,0.0014767140461524257,0.006054135135848649
std,0.049629483981530824,0.010777533216897641,0.03721950663673929,9.271562459230206e-05,7.2699137779932e-05,0.0008329709861584674,0.0007473439930794615,0.0009879810840165782,0.037190301898460405,9.531374159720644e-05,9.310918423269714e-05,0.0006883509912562868
