,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,121.14349460601807,4.877567768096924,0.6384779264233795,0.00251970729027479,0.001752183387115653,0.02652514932385075,0.21782851219177246,0.16599202156066895,0.666147963450756,0.0024290025176727597,0.0016708708076888744,0.02824803673395715
1,120.93885588645935,4.981206655502319,0.6355066343018245,0.002520142602413187,0.0017455291877566197,0.029579842690170888,0.16534900665283203,0.15251994132995605,0.6604704107639858,0.0024412631577012504,0.0016802497209012152,0.0283610950195613
2,121.42820930480957,4.822082996368408,0.6306600577064572,0.002490332064073504,0.0017348233992561816,0.0262723853687723,0.07619404792785645,0.14229393005371094,0.6567418131821843,0.002407446221041575,0.0016680096014293731,0.025590453720528372
3,120.45767974853516,4.709242105484009,0.6383978757672412,0.002501754501546859,0.0017344310329518707,0.024187569965336886,0.0903165340423584,0.1652367115020752,0.6646338697860421,0.00241786309581766,0.001662893626723851,0.024641267231013897
4,122.33058094978333,4.935086250305176,0.6354550276204722,0.002516368066393555,0.0017490157122767222,0.026475956820626312,0.08669662475585938,0.18616652488708496,0.6625813336071468,0.002430523887919798,0.0016733147099960643,0.025394992000992378
mean,121.2597640991211,4.865037155151367,0.6356995043638749,0.002509660904940379,0.0017431965438714093,0.026608180833751428,0.12727694511413573,0.16244182586669922,0.662115078158023,0.0024252197760306084,0.0016710676933478757,0.02644716894121062
std,0.6954966744019463,0.10568396527152887,0.0031817380361645743,1.3151969043036381e-05,8.17023610964329e-06,0.0019253095323070002,0.0617886820986277,0.016489831087974326,0.003687911893305717,1.2940757642019882e-05,6.433598703801978e-06,0.001732668181599529
