,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,51.06362509727478,6.047256946563721,0.7389214336265574,0.0021018880961163745,0.0012780992659528014,0.026894149932520817,0.23639631271362305,0.21226787567138672,0.6636190378213006,0.0024194006331194275,0.0016637557624985882,0.026283220248001338
1,50.10857319831848,6.139742374420166,0.735964609634194,0.002116287796435273,0.00128591168921524,0.031111621440095383,0.23004412651062012,0.2072911262512207,0.6572809824042403,0.0024409218852843233,0.0016824165202606691,0.02527336462778529
2,48.68701219558716,6.3878173828125,0.7343655735761007,0.002119168648965061,0.0012827738625795862,0.028866990556648764,0.151900053024292,0.2015972137451172,0.6644306114345611,0.0024264552396438565,0.0016647956507866667,0.028306427185045502
3,48.19617033004761,5.913771152496338,0.731673818451671,0.0021269069533196116,0.0012915001277898981,0.029411645596368108,0.14847064018249512,0.20043015480041504,0.6632839906751072,0.002419418862869594,0.001666737183366045,0.02822371334733964
4,49.951375246047974,6.684308767318726,0.7397429761652842,0.0021061037754621158,0.001279479567015598,0.03149810068011705,0.12334680557250977,0.20591306686401367,0.6672258233481517,0.002418126669647795,0.001665589368119198,0.025534422847796834
mean,49.6013512134552,6.23457932472229,0.7361336822907615,0.002114071054059687,0.0012835529025106245,0.029556501641150024,0.178031587600708,0.20549988746643066,0.6631680891366721,0.002424864658112999,0.0016686588970062336,0.02672422965119372
std,1.1541864051477984,0.3052622142740176,0.0033107302531384204,1.0094078993273565e-05,5.377345565690771e-06,0.0018555814349544423,0.051620919786491554,0.004746524239405191,0.003637787206720008,9.556113717909946e-06,7.767763318151495e-06,0.001454900274107959
