,rf_fit_time,rf_score_time,rf_test_r2,rf_test_rmse,rf_test_mae,rf_test_maxae,linear_fit_time,linear_score_time,linear_test_r2,linear_test_rmse,linear_test_mae,linear_test_maxae
0,75.28637266159058,5.8160951137542725,0.7956575189684388,0.001874918288341375,0.0011293658175046994,0.029986302669309017,0.17095637321472168,0.1921079158782959,0.6647388710359985,0.0024153374189766264,0.0016617635086460883,0.026162874037393258
1,75.04118251800537,5.626776218414307,0.7899854693340177,0.0018990360151117565,0.001143728747380327,0.025581267433522847,0.1994483470916748,0.20169520378112793,0.6609682937092808,0.002431180063838598,0.0016750151538682133,0.025542828212789748
2,74.03170323371887,5.832995891571045,0.7965024691081192,0.0018688371191821263,0.0011181147147868212,0.031027680410445235,0.10970902442932129,0.18616771697998047,0.6618214375576132,0.002428059100106979,0.0016635960528470681,0.0283347462378033
3,73.84730505943298,5.887408018112183,0.7900260249325511,0.001885000919672486,0.001129708440463648,0.026616876524711786,0.13127613067626953,0.16849255561828613,0.657886006816962,0.0024265759376667292,0.0016684369742530104,0.024635298472058254
4,73.45594906806946,5.423604726791382,0.7957114263997306,0.0018874886589529522,0.001139244523827649,0.025112382467685546,0.09578800201416016,0.18825483322143555,0.6642758214054959,0.0024403724338496373,0.0016819286880559972,0.02820814905107638
mean,74.33250250816346,5.717375993728638,0.7935765817485715,0.0018830562002521392,0.001132032448792629,0.027664901901134888,0.1414355754852295,0.18734364509582518,0.6619380861050701,0.002428304990887714,0.0016701480755340753,0.026576779202224187
std,0.7915709581348637,0.19139892327062508,0.003276859026420104,1.1696056851016998e-05,9.93771457578025e-06,0.0026763980492232097,0.043100024630425976,0.012106219042401964,0.002769605265008083,9.015226462746956e-06,8.346093602496711e-06,0.001640238949174682
